rodzaj,ksztalt_kapelusza,powierzchnia_kapelusza,kolor_kapelusza,zasinienia,zapach,sposob_przyrastania_blaszek,odstep_miedzy_blaszkami,rozmiar_blaszek,kolor_blaszek,ksztalt_trzonu,korzen_trzonu,powierzchnia_trzonu_nad_pierscieniem,powierzchnia_lodygi_ponizej_pierscienia,kolor_trzonu_nad_pierscieniem,kolor_trzonu_pod_pierscieniem,rodzaj_oslony,kolor_oslony,liczba_pierscieni,rodzaj_pierscienia,kolor_wysypu_zarodnikow,populacja,srodowisko
jadalny,wklęsły,włóknisty,szary,nie,brak,wolne,mały,wąski,czarny,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,samotna,miejskie
jadalny,płaski,włóknisty,biały,nie,brak,wolne,bardzo mały,szeroki,czarny,zbieżny,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,zanikający,brązowy,obfita,trawy
trujący,wypukły,gładki,brązowy,tak,ostry,wolne,mały,wąski,brązowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,trawy
trujący,wypukły,łuskowaty,biały,tak,ostry,wolne,mały,wąski,brązowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,miejskie
trujący,wypukły,gładki,brązowy,tak,ostry,wolne,mały,wąski,czarny,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,miejskie
jadalny,dzwonowy,gładki,żółty,tak,migdałowy,wolne,mały,szeroki,czarny,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,łąki
trujący,wypukły,łuskowaty,brązowy,tak,ostry,wolne,mały,wąski,brązowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,trawy
jadalny,dzwonowy,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,czarny,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,łąki
jadalny,dzwonowy,łuskowaty,biały,tak,migdałowy,wolne,mały,szeroki,biały,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,łąki
jadalny,dzwonowy,gładki,biały,tak,anyż,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,łąki
trujący,płaski,gładki,biały,tak,ostry,wolne,mały,wąski,brązowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,trawy
jadalny,wypukły,łuskowaty,żółty,tak,migdałowy,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,łąki
jadalny,wypukły,łuskowaty,biały,tak,anyż,wolne,mały,szeroki,biały,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,łąki
jadalny,płaski,włóknisty,brązowy,nie,brak,wolne,mały,wąski,czarny,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,samotna,miejskie
jadalny,wypukły,gładki,żółty,tak,migdałowy,wolne,bardzo mały,wąski,brązowy,zbieżny,bulwiasty,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,laśne
jadalny,dzwonowy,gładki,żółty,tak,anyż,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,łąki
trujący,wypukły,łuskowaty,biały,tak,ostry,wolne,mały,wąski,czarny,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,miejskie
jadalny,wypukły,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,łąki
jadalny,wypukły,łuskowaty,brązowy,tak,anyż,wolne,mały,szeroki,różowy,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,brązowy,samotna,ścieżki
jadalny,dzwonowy,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,łąki
jadalny,wypukły,włóknisty,żółty,tak,anyż,wolne,bardzo mały,wąski,biały,zbieżny,bulwiasty,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,laśne
jadalny,wklęsły,włóknisty,szary,nie,brak,wolne,mały,wąski,czarny,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,kilka,miejskie
trujący,wypukły,łuskowaty,brązowy,tak,ostry,wolne,mały,wąski,biały,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,miejskie
jadalny,wypukły,włóknisty,żółty,tak,migdałowy,wolne,bardzo mały,wąski,różowy,zbieżny,bulwiasty,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,laśne
jadalny,dzwonowy,gładki,żółty,tak,anyż,wolne,mały,szeroki,czarny,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,łąki
jadalny,dzwonowy,łuskowaty,żółty,tak,migdałowy,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,trawy
jadalny,wypukły,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,brązowy,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,czarny,samotna,ścieżki
jadalny,wypukły,włóknisty,brązowy,nie,brak,wolne,mały,wąski,szary,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,samotna,miejskie
trujący,wypukły,łuskowaty,biały,tak,ostry,wolne,mały,wąski,różowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,trawy
jadalny,wypukły,gładki,żółty,tak,migdałowy,wolne,mały,szeroki,biały,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,liczna,łąki
jadalny,wypukły,łuskowaty,biały,tak,migdałowy,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,trawy
jadalny,wypukły,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,czarny,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,łąki
jadalny,wypukły,gładki,biały,tak,anyż,wolne,mały,szeroki,biały,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,łąki
jadalny,wypukły,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,brązowy,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,ścieżki
jadalny,płaski,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,biały,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,ścieżki
jadalny,wypukły,łuskowaty,brązowy,tak,migdałowy,wolne,mały,szeroki,biały,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,trawy
jadalny,wypukły,gładki,biały,tak,anyż,wolne,mały,szeroki,czarny,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,trawy
jadalny,dzwonowy,gładki,biały,tak,anyż,wolne,mały,szeroki,czarny,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,łąki
trujący,wypukły,łuskowaty,brązowy,tak,ostry,wolne,mały,wąski,czarny,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,miejskie
trujący,wypukły,gładki,biały,tak,ostry,wolne,mały,wąski,czarny,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,kilka,miejskie
jadalny,dzwonowy,łuskowaty,żółty,tak,migdałowy,wolne,mały,szeroki,biały,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,łąki
jadalny,płaski,włóknisty,szary,nie,brak,wolne,bardzo mały,szeroki,brązowy,zbieżny,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,zanikający,brązowy,obfita,trawy
jadalny,dzwonowy,gładki,biały,tak,migdałowy,wolne,mały,szeroki,biały,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,trawy
jadalny,wypukły,gładki,żółty,tak,anyż,wolne,mały,szeroki,czarny,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,liczna,trawy
jadalny,wypukły,łuskowaty,brązowy,tak,migdałowy,wolne,mały,szeroki,różowy,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,czarny,samotna,ścieżki
jadalny,wklęsły,włóknisty,szary,nie,brak,wolne,mały,wąski,czarny,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,miejskie
jadalny,dzwonowy,łuskowaty,żółty,tak,migdałowy,wolne,mały,szeroki,czarny,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,łąki
jadalny,dzwonowy,gładki,żółty,tak,anyż,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,łąki
jadalny,dzwonowy,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,łąki
jadalny,dzwonowy,łuskowaty,biały,tak,anyż,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,trawy
jadalny,płaski,gładki,brązowy,nie,brak,wolne,bardzo mały,szeroki,czarny,zbieżny,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,zanikający,czarny,obfita,trawy
jadalny,wypukły,gładki,biały,tak,anyż,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,trawy
jadalny,płaski,łuskowaty,żółty,tak,migdałowy,wolne,mały,szeroki,biały,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,trawy
jadalny,wypukły,łuskowaty,żółty,tak,migdałowy,wolne,mały,szeroki,biały,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,liczna,trawy
jadalny,wypukły,włóknisty,szary,nie,brak,wolne,mały,wąski,różowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,miejskie
jadalny,płaski,włóknisty,żółty,tak,anyż,wolne,bardzo mały,wąski,różowy,zbieżny,bulwiasty,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,laśne
jadalny,dzwonowy,łuskowaty,biały,tak,anyż,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,łąki
jadalny,płaski,włóknisty,żółty,tak,anyż,wolne,bardzo mały,wąski,biały,zbieżny,bulwiasty,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,laśne
jadalny,wypukły,łuskowaty,brązowy,tak,migdałowy,wolne,mały,szeroki,różowy,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,ścieżki
jadalny,dzwonowy,gładki,żółty,tak,migdałowy,wolne,mały,szeroki,czarny,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,trawy
jadalny,płaski,gładki,żółty,tak,anyż,wolne,bardzo mały,wąski,różowy,zbieżny,bulwiasty,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,laśne
jadalny,wypukły,gładki,biały,tak,anyż,wolne,bardzo mały,wąski,brązowy,zbieżny,bulwiasty,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,purpurowy,kilka,laśne
jadalny,płaski,łuskowaty,brązowy,tak,anyż,wolne,mały,szeroki,różowy,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,brązowy,samotna,ścieżki
trujący,wypukły,łuskowaty,brązowy,tak,ostry,wolne,mały,wąski,biały,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,miejskie
jadalny,płaski,łuskowaty,brązowy,tak,migdałowy,wolne,mały,szeroki,brązowy,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,brązowy,samotna,trawy
jadalny,wypukły,gładki,brązowy,nie,brak,wolne,bardzo mały,szeroki,czarny,zbieżny,równy,włóknista,gładka,biały,biały,częściowa,biały,jeden,zanikający,brązowy,rozsiana,trawy
trujący,wypukły,łuskowaty,biały,tak,ostry,wolne,mały,wąski,biały,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,trawy
jadalny,płaski,włóknisty,szary,nie,brak,wolne,mały,wąski,brązowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,samotna,miejskie
jadalny,wypukły,włóknisty,szary,nie,brak,wolne,bardzo mały,szeroki,brązowy,zbieżny,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,zanikający,brązowy,rozsiana,trawy
jadalny,wypukły,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,biały,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,trawy
jadalny,wypukły,gładki,brązowy,nie,brak,wolne,bardzo mały,szeroki,czarny,zbieżny,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,zanikający,czarny,rozsiana,trawy
jadalny,dzwonowy,gładki,biały,tak,migdałowy,wolne,mały,szeroki,biały,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,trawy
jadalny,wypukły,gładki,biały,tak,anyż,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,trawy
jadalny,płaski,łuskowaty,brązowy,tak,anyż,wolne,mały,szeroki,biały,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,czarny,samotna,trawy
jadalny,wklęsły,włóknisty,brązowy,nie,brak,wolne,mały,wąski,brązowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,miejskie
jadalny,wypukły,włóknisty,brązowy,nie,brak,wolne,mały,wąski,brązowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,samotna,miejskie
jadalny,dzwonowy,gładki,biały,tak,anyż,wolne,mały,szeroki,czarny,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,trawy
jadalny,wypukły,łuskowaty,żółty,tak,migdałowy,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,trawy
jadalny,wypukły,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,liczna,łąki
jadalny,wypukły,gładki,brązowy,nie,brak,wolne,bardzo mały,szeroki,brązowy,zbieżny,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,zanikający,brązowy,obfita,trawy
jadalny,wypukły,gładki,biały,tak,migdałowy,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,trawy
jadalny,płaski,łuskowaty,brązowy,tak,anyż,wolne,mały,szeroki,różowy,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,trawy
jadalny,wypukły,gładki,żółty,tak,migdałowy,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,liczna,trawy
jadalny,dzwonowy,gładki,biały,tak,migdałowy,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,trawy
jadalny,wypukły,łuskowaty,biały,tak,migdałowy,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,trawy
jadalny,wypukły,włóknisty,brązowy,nie,brak,wolne,bardzo mały,szeroki,różowy,zbieżny,równy,włóknista,gładka,biały,biały,częściowa,biały,jeden,zanikający,czarny,rozsiana,trawy
jadalny,dzwonowy,gładki,żółty,tak,anyż,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,liczna,trawy
jadalny,płaski,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,biały,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,trawy
jadalny,wypukły,łuskowaty,żółty,tak,migdałowy,wolne,mały,szeroki,brązowy,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,czarny,samotna,ścieżki
jadalny,dzwonowy,łuskowaty,biały,tak,anyż,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,trawy
jadalny,wypukły,łuskowaty,żółty,tak,migdałowy,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,liczna,łąki
jadalny,wypukły,łuskowaty,żółty,tak,migdałowy,wolne,mały,szeroki,biały,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,brązowy,samotna,trawy
jadalny,dzwonowy,łuskowaty,biały,tak,anyż,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,łąki
jadalny,dzwonowy,łuskowaty,biały,tak,migdałowy,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,łąki
jadalny,wypukły,gładki,żółty,tak,migdałowy,wolne,mały,szeroki,czarny,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,liczna,łąki
jadalny,wypukły,gładki,żółty,tak,anyż,wolne,mały,szeroki,biały,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,liczna,trawy
jadalny,wklęsły,włóknisty,szary,nie,brak,wolne,mały,wąski,szary,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,samotna,miejskie
jadalny,wypukły,włóknisty,biały,tak,migdałowy,wolne,bardzo mały,wąski,biały,zbieżny,bulwiasty,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,purpurowy,kilka,laśne
jadalny,wypukły,gładki,żółty,tak,migdałowy,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,liczna,łąki
trujący,wypukły,łuskowaty,biały,tak,ostry,wolne,mały,wąski,brązowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,miejskie
jadalny,wypukły,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,różowy,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,trawy
jadalny,wklęsły,włóknisty,szary,nie,brak,wolne,mały,wąski,różowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,samotna,miejskie
jadalny,wypukły,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,biały,powiększający,rooted,gładka,łuskowata,biały,biały,częściowa,biały,jeden,opadający,czarny,samotna,trawy
jadalny,wypukły,gładki,żółty,tak,anyż,wolne,bardzo mały,wąski,różowy,zbieżny,bulwiasty,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,purpurowy,kilka,laśne
jadalny,wklęsły,włóknisty,brązowy,nie,brak,wolne,mały,wąski,czarny,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,samotna,miejskie
trujący,wypukły,gładki,biały,tak,ostry,wolne,mały,wąski,czarny,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,kilka,trawy
jadalny,wypukły,łuskowaty,biały,tak,migdałowy,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,łąki
trujący,płaski,łuskowaty,brązowy,tak,ostry,wolne,mały,wąski,różowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,kilka,trawy
jadalny,płaski,gładki,szary,nie,brak,wolne,bardzo mały,szeroki,czarny,zbieżny,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,zanikający,brązowy,obfita,trawy
jadalny,wypukły,gładki,żółty,tak,anyż,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,łąki
jadalny,wypukły,gładki,biały,nie,brak,wolne,bardzo mały,szeroki,brązowy,zbieżny,równy,gładka,włóknista,biały,biały,częściowa,biały,jeden,zanikający,czarny,rozsiana,trawy
jadalny,dzwonowy,gładki,żółty,tak,migdałowy,wolne,mały,szeroki,biały,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,trawy
jadalny,płaski,włóknisty,szary,nie,brak,wolne,bardzo mały,szeroki,czekoladowy,zbieżny,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,zanikający,brązowy,obfita,trawy
jadalny,wypukły,gładki,biały,tak,anyż,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,liczna,trawy
jadalny,dzwonowy,gładki,biały,tak,anyż,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,łąki
jadalny,dzwonowy,gładki,biały,tak,anyż,wolne,mały,szeroki,biały,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,trawy
jadalny,dzwonowy,łuskowaty,biały,tak,anyż,wolne,mały,szeroki,biały,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,łąki
jadalny,płaski,gładki,biały,tak,anyż,wolne,bardzo mały,wąski,biały,zbieżny,bulwiasty,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,purpurowy,kilka,laśne
jadalny,wypukły,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,łąki
jadalny,płaski,gładki,biały,tak,migdałowy,wolne,bardzo mały,wąski,różowy,zbieżny,bulwiasty,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,laśne
trujący,wypukły,łuskowaty,biały,tak,ostry,wolne,mały,wąski,biały,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,miejskie
jadalny,płaski,włóknisty,biały,tak,anyż,wolne,bardzo mały,wąski,biały,zbieżny,bulwiasty,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,laśne
jadalny,wypukły,łuskowaty,żółty,tak,migdałowy,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,trawy
